benign.location_x,forward.location_x,reverse.location_x
-61.36797332763672,-67.07536315917969,-79.0921401977539
-61.08363723754883,-66.91676330566406,-79.09947204589844
-60.80929946899414,-66.76569366455078,-79.1065902709961
-60.41715621948242,-66.6190185546875,-79.115478515625
-60.12818145751953,-66.47595977783203,-79.12566375732422
-59.829559326171875,-66.32411193847656,-79.135986328125
-59.539833068847656,-66.0237808227539,-79.14618682861328
-59.24315643310547,-65.85920715332031,-79.15901947021484
-58.95764923095703,-65.70675659179688,-79.1732406616211
-58.68248748779297,-65.57508087158203,-79.18727111816406
-58.4015998840332,-65.40221405029297,-79.20249938964844
-58.10031509399414,-65.26314544677734,-79.21698760986328
-57.81452941894531,-65.12970733642578,-79.23170471191406
-57.535003662109375,-65.00247192382812,-79.2469482421875
-57.251522064208984,-64.856201171875,-79.2588119506836
-56.95724868774414,-64.7259521484375,-79.2713623046875
-56.66434860229492,-64.60401153564453,-79.28648376464844
-56.377410888671875,-64.485595703125,-79.30058288574219
-56.04777526855469,-64.3586196899414,-79.3143310546875
-55.67647171020508,-64.22482299804688,-79.3298568725586
-55.26272964477539,-64.11028289794922,-79.34537506103516
-54.97244644165039,-63.995121002197266,-79.36042785644531
-54.47056198120117,-63.866268157958984,-79.37663269042969
-54.159969329833984,-63.746253967285156,-79.39311981201172
-53.84002685546875,-63.63978958129883,-79.40946960449219
-53.519954681396484,-63.5311393737793,-79.42717742919922
-53.208984375,-63.42853927612305,-79.44802856445312
-52.91162109375,-63.31903839111328,-79.46739196777344
-52.56901168823242,-63.14472961425781,-79.48528289794922
-52.255550384521484,-63.01212692260742,-79.5037841796875
-51.960140228271484,-62.87256622314453,-79.52207946777344
-51.64625930786133,-62.76677703857422,-79.54008483886719
-51.37435531616211,-62.64383316040039,-79.55815124511719
-51.02852249145508,-62.53807830810547,-79.57642364501953
-50.67532730102539,-62.432899475097656,-79.5956802368164
-50.327640533447266,-62.30184555053711,-79.6157455444336
-49.99165344238281,-62.19742202758789,-79.6358642578125
-49.64434051513672,-62.111751556396484,-79.65727233886719
-49.37088394165039,-62.0266227722168,-79.68190002441406
-49.060150146484375,-61.94937515258789,-79.70557403564453
-48.77471923828125,-61.865047454833984,-79.74018096923828
-48.494930267333984,-61.784881591796875,-79.76020812988281
-48.222015380859375,-61.7047119140625,-79.7784194946289
-47.943817138671875,-61.626731872558594,-79.7886734008789
-47.64450454711914,-61.548030853271484,-79.79901885986328
-47.35276412963867,-61.47269821166992,-79.80923461914062
-47.05521011352539,-61.383846282958984,-79.82478332519531
-46.783119201660156,-61.2951545715332,-79.83869171142578
-46.39228820800781,-61.213260650634766,-79.85260772705078
-46.05872344970703,-61.132102966308594,-79.8666763305664
-45.72745895385742,-61.049583435058594,-79.88082122802734
-45.42278289794922,-60.97100067138672,-79.89518737792969
-45.09942626953125,-60.87675476074219,-79.91041564941406
-44.77971267700195,-60.80302429199219,-79.92460632324219
-44.47005081176758,-60.7261848449707,-79.94064331054688
-44.17021942138672,-60.66288757324219,-79.95616149902344
-43.87810516357422,-60.59928512573242,-79.97052001953125
-43.57876968383789,-60.535438537597656,-79.98526000976562
-43.285179138183594,-60.47382354736328,-80.0018310546875
-42.965877532958984,-60.41136169433594,-80.01790618896484
-42.66690444946289,-60.35003662109375,-80.03421020507812
-42.338069915771484,-60.28804016113281,-80.05192565917969
-41.51518630981445,-60.23139953613281,-80.0716552734375
-41.11317825317383,-60.17345428466797,-80.09026336669922
-40.83056640625,-60.1175537109375,-80.108642578125
-40.5558967590332,-60.05466842651367,-80.12733459472656
-40.285987854003906,-59.99540328979492,-80.14789581298828
-39.95207595825195,-59.9345817565918,-80.16726684570312
-39.568084716796875,-59.87357711791992,-80.18763732910156
-39.2269287109375,-59.81573486328125,-80.20840454101562
