benign_rotation,replay_rotation
-102.10115051269531,-15.897233963012695
-102.09902954101562,-15.897233963012695
-102.10066986083984,-15.897233963012695
-102.10037994384766,-15.897233963012695
-102.09888458251953,-15.897233963012695
-102.11481475830078,-15.897233963012695
-102.1097183227539,-15.897233963012695
-102.11361694335938,-15.897233963012695
-102.11124420166016,-15.897233963012695
-102.10983276367188,-15.897233963012695
-102.1100845336914,-15.897233963012695
-102.10275268554688,-15.897233963012695
-102.09596252441406,-15.897233963012695
-102.09558868408203,-15.897233963012695
-102.09204864501953,-15.897233963012695
-102.0919189453125,-15.897233963012695
-102.09732055664062,-15.897233963012695
-102.09949493408203,-15.897233963012695
-102.09571075439453,-15.897233963012695
-102.09255981445312,-15.897233963012695
-102.09683990478516,-15.897233963012695
-102.10291290283203,-15.897233963012695
-102.10385131835938,-15.897233963012695
-102.10385131835938,-15.897233963012695
-102.09893798828125,-15.897233963012695
-102.10907745361328,-15.897233963012695
-102.11846160888672,-15.897233963012695
-102.11446380615234,-15.897233963012695
-102.11518859863281,-15.897233963012695
-102.11530303955078,-15.897233963012695
-102.10885620117188,-15.897233963012695
-102.10951232910156,-15.897233963012695
-102.12345123291016,-15.897233963012695
-102.1182632446289,-15.897233963012695
-102.11360168457031,-15.897233963012695
-102.11151123046875,-15.897233963012695
-102.11151123046875,-15.897233963012695
-102.11243438720703,-15.897233963012695
-102.1130142211914,-15.897233963012695
-102.11124420166016,-15.897233963012695
-102.12397003173828,-15.897233963012695
-102.11499786376953,-15.897233963012695
-102.1110610961914,-15.897233963012695
-102.1017837524414,-15.897233963012695
-102.10743713378906,-15.897233963012695
-102.10680389404297,-15.897233963012695
-102.10816955566406,-15.897233963012695
-102.12101745605469,-15.897233963012695
-102.11616516113281,-15.897233963012695
-102.11549377441406,-15.897233963012695
-102.11270141601562,-15.897233963012695
-102.11122131347656,-15.897233963012695
-102.1110610961914,-15.897233963012695
-102.10816955566406,-15.897233963012695
-102.10885620117188,-15.897233963012695
-102.10602569580078,-15.897233963012695
-102.10630798339844,-15.897233963012695
-102.10578155517578,-15.897233963012695
-102.11714935302734,-15.897233963012695
-102.11084747314453,-15.897233963012695
-102.13020324707031,-15.897233963012695
-102.12055969238281,-15.897233963012695
-102.1112289428711,-15.897233963012695
-102.10908508300781,-15.897233963012695
-102.11189270019531,-15.897233963012695
-102.11137390136719,-15.897233963012695
-102.11216735839844,-15.897233963012695
-102.11329650878906,-15.897233963012695
-102.1138687133789,-15.897233963012695
-102.11134338378906,-15.897233963012695
-102.11073303222656,-15.897233963012695
-102.11067199707031,-15.897233963012695
-102.11244201660156,-15.897233963012695
-102.12323760986328,-15.897233963012695
-102.11600494384766,-15.897233963012695
-102.11332702636719,-15.897233963012695
-102.11112976074219,-15.897233963012695
-102.10367584228516,-15.897233963012695
-102.10456085205078,-15.897233963012695
-102.10600280761719,-15.897233963012695
-102.12651824951172,-15.897233963012695
-102.11598205566406,-15.897233963012695
-102.11061096191406,-15.897233963012695
-102.11152648925781,-15.897233963012695
-102.10954284667969,-15.897233963012695
-102.11250305175781,-15.897233963012695
-102.11067199707031,-15.897233963012695
-102.11137390136719,-15.897233963012695
-102.10731506347656,-15.897233963012695
-102.11015319824219,-15.897233963012695
-102.10990905761719,-15.897233963012695
-102.11064147949219,-15.897233963012695
-102.11024475097656,-15.897233963012695
-102.11018371582031,-15.897233963012695
-102.10212707519531,-15.897233963012695
-102.10954284667969,-15.897233963012695
-102.1085433959961,-15.897233963012695
-102.11150360107422,-15.897233963012695
-102.10237121582031,-15.897233963012695
-102.10279846191406,-15.897233963012695
-102.11534118652344,-15.897233963012695
-102.11195373535156,-15.897233963012695
-102.10969543457031,-15.897233963012695
-102.10685729980469,-15.897233963012695
-102.10784149169922,-15.897233963012695
-102.11237335205078,-15.897233963012695
-102.11207580566406,-15.897233963012695
-102.10926818847656,-15.897233963012695
-102.11045837402344,-15.897233963012695
-102.11189270019531,-15.897233963012695
-102.11087799072266,-15.897233963012695
-102.11054992675781,-15.897233963012695
-102.11156463623047,-15.897233963012695
-102.11156463623047,-15.897233963012695
-102.12147521972656,-15.897233963012695
-102.11778259277344,-15.897233963012695
-102.11078643798828,-15.897233963012695
-102.1065444946289,-15.897233963012695
-102.10786437988281,-15.897233963012695
-102.1052017211914,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
-89.35775756835938,-15.897233963012695
