benign_locationx,benign_locationy,replay_locationx,replay_locationy
-66.89063262939453,-41.81922149658203,-77.205810546875,-56.883480072021484
-66.89049530029297,-41.81924819946289,-77.2056655883789,-56.88352966308594
-66.89058685302734,-41.81914520263672,-77.20552825927734,-56.88358688354492
-66.89064025878906,-41.819252014160156,-77.20552825927734,-56.88358688354492
-66.89087677001953,-41.81923294067383,-77.20545196533203,-56.88361740112305
-66.89092254638672,-41.81926345825195,-77.2054214477539,-56.88362503051758
-66.89106750488281,-41.81925582885742,-77.20540618896484,-56.88363265991211
-66.8910903930664,-41.819252014160156,-77.20536041259766,-56.88364791870117
-66.8912124633789,-41.81923294067383,-77.2053451538086,-56.88365173339844
-66.89134216308594,-41.8192024230957,-77.20533752441406,-56.88365173339844
-66.891357421875,-41.81919860839844,-77.205322265625,-56.8836555480957
-66.8914566040039,-41.81917953491211,-77.205322265625,-56.8836555480957
-66.89140319824219,-41.81917953491211,-77.205322265625,-56.8836555480957
-66.8912353515625,-41.81920623779297,-77.20531463623047,-56.88365936279297
-66.89126586914062,-41.81916427612305,-77.20531463623047,-56.88365936279297
-66.89100646972656,-41.81923294067383,-77.20531463623047,-56.88365936279297
-66.8909683227539,-41.819236755371094,-77.20530700683594,-56.88365936279297
-66.89079284667969,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89067840576172,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.89058685302734,-41.81923294067383,-77.20530700683594,-56.88365936279297
-66.89054870605469,-41.81924057006836,-77.20530700683594,-56.88365936279297
-66.89071655273438,-41.81920623779297,-77.20530700683594,-56.88365936279297
-66.89070892333984,-41.819183349609375,-77.20530700683594,-56.88365936279297
-66.89080810546875,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.89057159423828,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.89055633544922,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.89022827148438,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.89006042480469,-41.81924057006836,-77.20530700683594,-56.88365936279297
-66.8898696899414,-41.81929016113281,-77.20530700683594,-56.88365936279297
-66.88983917236328,-41.81928634643555,-77.20530700683594,-56.88365936279297
-66.88983154296875,-41.81928634643555,-77.20530700683594,-56.88365936279297
-66.889892578125,-41.819271087646484,-77.20530700683594,-56.88365936279297
-66.88983917236328,-41.81927490234375,-77.20530700683594,-56.88365936279297
-66.88990020751953,-41.81926727294922,-77.20530700683594,-56.88365936279297
-66.89002990722656,-41.819252014160156,-77.20530700683594,-56.88365936279297
-66.89035034179688,-41.81930160522461,-77.20530700683594,-56.88365936279297
-66.89065551757812,-41.81926345825195,-77.20530700683594,-56.88365936279297
-66.89088439941406,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89092254638672,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89083862304688,-41.81923294067383,-77.20530700683594,-56.88365936279297
-66.89083099365234,-41.81923294067383,-77.20530700683594,-56.88365936279297
-66.89095306396484,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89110565185547,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.89091491699219,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.89102172851562,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89088439941406,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.89080810546875,-41.81924057006836,-77.20530700683594,-56.88365936279297
-66.89091491699219,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89091491699219,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.89103698730469,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.89110565185547,-41.81917953491211,-77.20530700683594,-56.88365936279297
-66.89111328125,-41.819183349609375,-77.20530700683594,-56.88365936279297
-66.89128875732422,-41.81923294067383,-77.20530700683594,-56.88365936279297
-66.89154815673828,-41.81918716430664,-77.20530700683594,-56.88365936279297
-66.89132690429688,-41.81914520263672,-77.20530700683594,-56.88365936279297
-66.89104461669922,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89102172851562,-41.8192024230957,-77.20530700683594,-56.88365936279297
-66.89097595214844,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.89111328125,-41.81918716430664,-77.20530700683594,-56.88365936279297
-66.89122009277344,-41.81918716430664,-77.20530700683594,-56.88365936279297
-66.89155578613281,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.89173889160156,-41.819183349609375,-77.20530700683594,-56.88365936279297
-66.89171600341797,-41.81912612915039,-77.20530700683594,-56.88365936279297
-66.89167022705078,-41.81914138793945,-77.20530700683594,-56.88365936279297
-66.89157104492188,-41.81916046142578,-77.20530700683594,-56.88365936279297
-66.89157104492188,-41.81916046142578,-77.20530700683594,-56.88365936279297
-66.89139556884766,-41.819114685058594,-77.20530700683594,-56.88365936279297
-66.89119720458984,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89122772216797,-41.81918716430664,-77.20530700683594,-56.88365936279297
-66.8912124633789,-41.819183349609375,-77.20530700683594,-56.88365936279297
-66.89131927490234,-41.819129943847656,-77.20530700683594,-56.88365936279297
-66.89125061035156,-41.81914520263672,-77.20530700683594,-56.88365936279297
-66.89100646972656,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.89088439941406,-41.81903076171875,-77.20530700683594,-56.88365936279297
-66.89083099365234,-41.819129943847656,-77.20530700683594,-56.88365936279297
-66.89076232910156,-41.819149017333984,-77.20530700683594,-56.88365936279297
-66.89057159423828,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.89044952392578,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.89055633544922,-41.81917953491211,-77.20530700683594,-56.88365936279297
-66.89064025878906,-41.81916046142578,-77.20530700683594,-56.88365936279297
-66.89053344726562,-41.81915283203125,-77.20530700683594,-56.88365936279297
-66.89041137695312,-41.81917953491211,-77.20530700683594,-56.88365936279297
-66.89031219482422,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.89016723632812,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.89019775390625,-41.81924819946289,-77.20530700683594,-56.88365936279297
-66.89024353027344,-41.819175720214844,-77.20530700683594,-56.88365936279297
-66.8902587890625,-41.81917953491211,-77.20530700683594,-56.88365936279297
-66.89018249511719,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.89021301269531,-41.81919479370117,-77.20530700683594,-56.88365936279297
-66.89017486572266,-41.81916809082031,-77.20530700683594,-56.88365936279297
-66.89051818847656,-41.81910705566406,-77.20530700683594,-56.88365936279297
-66.89015197753906,-41.81917953491211,-77.20530700683594,-56.88365936279297
-66.8900146484375,-41.81919860839844,-77.20530700683594,-56.88365936279297
-66.88990020751953,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.88985443115234,-41.81922912597656,-77.20530700683594,-56.88365936279297
-66.88987731933594,-41.81922149658203,-77.20530700683594,-56.88365936279297
-66.88964080810547,-41.8192138671875,-77.20530700683594,-56.88365936279297
-66.8896255493164,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.88946533203125,-41.81924819946289,-77.20530700683594,-56.88365936279297
-66.8894271850586,-41.81924819946289,-77.20530700683594,-56.88365936279297
-66.8896255493164,-41.81928634643555,-77.20530700683594,-56.88365936279297
-66.88987731933594,-41.819236755371094,-77.20530700683594,-56.88365936279297
-66.88988494873047,-41.81920623779297,-77.20530700683594,-56.88365936279297
-66.88993835449219,-41.8192024230957,-77.20530700683594,-56.88365936279297
-66.889892578125,-41.819217681884766,-77.20530700683594,-56.88365936279297
-66.8897476196289,-41.819252014160156,-77.20530700683594,-56.88365936279297
-66.88967895507812,-41.81926345825195,-77.20530700683594,-56.88365936279297
-66.8896484375,-41.81926727294922,-77.20530700683594,-56.88365936279297
-66.88966369628906,-41.81918716430664,-77.20530700683594,-56.88365936279297
