tick,benign_velocity,uds_velocity
152,29.899729379567933,29.482690516417918
153,29.981275800793853,29.497089502022813
154,29.95825255470705,29.581318954543626
155,29.803595411021416,29.646979510645515
156,29.617166996925164,29.718692957763636
157,29.40266151609465,29.683006185144443
158,29.296409590300755,29.724939864328448
159,29.260379807813425,29.728251783531878
160,29.330318397049098,29.634745868920174
161,29.472942088226212,29.60048623131588
162,29.508685382618836,29.549036133316882
163,29.717625420290027,29.542860815803202
164,29.80083336561082,29.53828995587575
165,29.853660484486,29.555855124775235
166,29.77366165281336,29.53342363886729
167,29.72292188885944,29.611737036726407
168,29.58266374356894,29.604773146808608
169,29.54535825023291,29.662015467869278
170,29.52030587901025,29.62510295273616
171,29.455561733102066,29.578712785887166
172,29.518616506714892,29.62431911681122
173,29.55846949231558,29.652113327279395
174,29.574951623474625,29.66889720589878
