benign_locationx,benign_locationy,replay_locationx,replay_locationy
-95.3077392578125,-44.371551513671875,-97.37061309814453,-41.099822998046875
-95.17523193359375,-44.558860778808594,-97.25270080566406,-41.30669403076172
-95.0457763671875,-44.74066162109375,-97.13091278076172,-41.51806640625
-94.90856170654297,-44.93195343017578,-96.99195861816406,-41.756629943847656
-94.77342224121094,-45.11699295043945,-96.86227416992188,-41.977386474609375
-94.64031982421875,-45.29408264160156,-96.74002838134766,-42.18413162231445
-94.5027847290039,-45.47394943237305,-96.57858276367188,-42.45091247558594
-94.36528778076172,-45.651458740234375,-96.44060516357422,-42.67234802246094
-94.22225189208984,-45.834617614746094,-96.28517150878906,-42.91775131225586
-94.07140350341797,-46.026145935058594,-96.12088012695312,-43.17448043823242
-93.90821838378906,-46.23202133178711,-95.98014068603516,-43.39276123046875
-93.72706604003906,-46.45534896850586,-95.8524169921875,-43.58952713012695
-93.53971099853516,-46.6789436340332,-95.72136688232422,-43.787620544433594
-93.3790283203125,-46.86754608154297,-95.58206176757812,-43.99244689941406
-93.23094177246094,-47.03951644897461,-95.4351577758789,-44.20380783081055
-93.08072662353516,-47.212371826171875,-95.27406311035156,-44.432552337646484
-92.92874908447266,-47.38614273071289,-95.11219787597656,-44.6603889465332
-92.69427490234375,-47.65174102783203,-94.97123718261719,-44.85752868652344
-92.52091217041016,-47.84365463256836,-94.8238296508789,-45.05991744995117
-92.35934448242188,-48.01702117919922,-94.6812973022461,-45.24958038330078
-92.20169830322266,-48.18334197998047,-94.53855895996094,-45.43657684326172
-92.0465316772461,-48.34542465209961,-94.38127899169922,-45.63984680175781
-91.88798522949219,-48.50944900512695,-94.22352600097656,-45.84153366088867
-91.70701599121094,-48.69524002075195,-94.07276153564453,-46.03271484375
-91.4979476928711,-48.904598236083984,-93.9261474609375,-46.21765899658203
-91.30445861816406,-49.092323303222656,-93.76749420166016,-46.41404342651367
-91.12962341308594,-49.25908660888672,-93.59233856201172,-46.623817443847656
-90.95104217529297,-49.42742156982422,-93.40672302246094,-46.84172439575195
-90.77324676513672,-49.59364700317383,-93.21649932861328,-47.06235885620117
-90.590087890625,-49.76333236694336,-92.95851135253906,-47.35833740234375
-90.39569854736328,-49.941829681396484,-92.74392700195312,-47.60304641723633
-90.1026611328125,-50.20219802856445,-92.537109375,-47.83423614501953
-89.8783950805664,-50.394798278808594,-92.35743713378906,-48.02836990356445
-89.67236328125,-50.568363189697266,-92.17655181884766,-48.21958923339844
-89.42188262939453,-50.776878356933594,-91.9887466430664,-48.41543197631836
-89.24127960205078,-50.92649841308594,-91.80887603759766,-48.601219177246094
-89.05423736572266,-51.07876968383789,-91.63236236572266,-48.78205108642578
-88.82125091552734,-51.26206588745117,-91.4456787109375,-48.969329833984375
-88.58609008789062,-51.442352294921875,-91.2484359741211,-49.16080093383789
-88.3746109008789,-51.60221481323242,-91.05824279785156,-49.34178924560547
-88.13159942626953,-51.78365707397461,-90.88516235351562,-49.50450897216797
-87.90593719482422,-51.95057678222656,-90.70672607421875,-49.670570373535156
-87.68547821044922,-52.10982131958008,-90.54071044921875,-49.823997497558594
-87.48310089111328,-52.25067138671875,-90.3677978515625,-49.9808235168457
-87.27850341796875,-52.38964080810547,-90.18659973144531,-50.140525817871094
-87.048583984375,-52.54340744018555,-90.00089263916016,-50.30059814453125
-86.83729553222656,-52.68334197998047,-89.8283462524414,-50.44740295410156
-86.60511779785156,-52.83567428588867,-89.63258361816406,-50.61175537109375
-86.27686309814453,-53.043617248535156,-89.412109375,-50.79478454589844
-85.69790649414062,-53.38628387451172,-89.20305633544922,-50.966976165771484
-85.4745101928711,-53.51706314086914,-88.99072265625,-51.13828659057617
-85.22434997558594,-53.662132263183594,-88.7706298828125,-51.30980682373047
-85.02508544921875,-53.776702880859375,-88.56172943115234,-51.4691162109375
-84.80706024169922,-53.89924240112305,-88.3670425415039,-51.61555862426758
-84.58009338378906,-54.02133560180664,-88.16631317138672,-51.76512908935547
-84.36245727539062,-54.13526916503906,-87.97137451171875,-51.90904998779297
-84.13826751708984,-54.250755310058594,-87.77859497070312,-52.05013656616211
-83.91559600830078,-54.36416244506836,-87.5777816772461,-52.19404602050781
-83.639892578125,-54.50307846069336,-87.38066864013672,-52.330345153808594
-83.4168472290039,-54.6124267578125,-87.15646362304688,-52.482025146484375
-83.18862915039062,-54.72015380859375,-86.92323303222656,-52.63736343383789
-82.95396423339844,-54.82760238647461,-86.7150650024414,-52.77460479736328
-82.7213363647461,-54.93217086791992,-86.5121841430664,-52.90742492675781
-82.50655364990234,-55.02751922607422,-86.31448364257812,-53.03426742553711
-82.25065612792969,-55.139705657958984,-86.09717559814453,-53.16904067993164
-81.95840454101562,-55.26640319824219,-85.87123107910156,-53.30526351928711
