bluetooth_dsr,wifi_dsr,cellular_dsr
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,80.11
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,72.1
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
100.0,39.38,0.0
